Episode  82000/1000000 | Mean reward (last 500): +36.48 | Win rate: 55.1% | Win rate (last 500): 55.4% | 
Episode  82500/1000000 | Mean reward (last 500): +45.81 | Win rate: 55.1% | Win rate (last 500): 58.2% | 
Episode  83000/1000000 | Mean reward (last 500): +55.65 | Win rate: 55.1% | Win rate (last 500): 60.8% | 
Episode  83500/1000000 | Mean reward (last 500): +43.81 | Win rate: 55.2% | Win rate (last 500): 58.4% | 
Episode  84000/1000000 | Mean reward (last 500): +36.98 | Win rate: 55.2% | Win rate (last 500): 56.4% | 
Episode  84500/1000000 | Mean reward (last 500): +31.46 | Win rate: 55.2% | Win rate (last 500): 54.8% | 
Episode  85000/1000000 | Mean reward (last 500): +32.46 | Win rate: 55.2% | Win rate (last 500): 55.8% | 
Episode  85500/1000000 | Mean reward (last 500): +37.87 | Win rate: 55.2% | Win rate (last 500): 56.8% | 
Episode  86000/1000000 | Mean reward (last 500): +45.19 | Win rate: 55.2% | Win rate (last 500): 58.4% | 
Episode  86500/1000000 | Mean reward (last 500): +47.56 | Win rate: 55.2% | Win rate (last 500): 59.2% | 
Episode  87000/1000000 | Mean reward (last 500): +34.80 | Win rate: 55.2% | Win rate (last 500): 55.6% | 
Episode  87500/1000000 | Mean reward (last 500): +35.19 | Win rate: 55.2% | Win rate (last 500): 55.8% | 
Episode  88000/1000000 | Mean reward (last 500): +33.46 | Win rate: 55.2% | Win rate (last 500): 55.2% | 
Episode  88500/1000000 | Mean reward (last 500): +50.33 | Win rate: 55.3% | Win rate (last 500): 59.0% | 
Episode  89000/1000000 | Mean reward (last 500): +32.86 | Win rate: 55.3% | Win rate (last 500): 55.2% | 
Episode  89500/1000000 | Mean reward (last 500): +45.94 | Win rate: 55.3% | Win rate (last 500): 59.0% | 
Episode  90000/1000000 | Mean reward (last 500): +33.17 | Win rate: 55.3% | Win rate (last 500): 55.8% | 
Episode  90500/1000000 | Mean reward (last 500): +38.06 | Win rate: 55.3% | Win rate (last 500): 57.0% | 
Episode  91000/1000000 | Mean reward (last 500): +36.11 | Win rate: 55.3% | Win rate (last 500): 56.2% | 
Episode  91500/1000000 | Mean reward (last 500): +23.41 | Win rate: 55.3% | Win rate (last 500): 53.0% | 
Episode  92000/1000000 | Mean reward (last 500): +48.53 | Win rate: 55.3% | Win rate (last 500): 58.6% | 
